solidity,solc,contract,time,num_states,cov_1,cov_2,vulnerability,phase2,#_total_runtime_instr,function_cov,#_covered_deep_func,#_total_deep_func
0x00000000357646e36fe575885bb3e1a0772e64cc.sol,0.5.16,DaiBackstopSyndicateV3,559.2879438400269,16424,4.53%,78.49%,0,False,7434,[],0,0
0x022023be5ec6ae0af99d3cb337a2811ad123b3d8.sol,0.5.11,EnergyChainValidator,1810.0417256355286,16658,5.19%,66.22%,0,False,2247,[],0,0
0x0821f21f21c325ae39557ca83b6b4df525495d06.sol,0.4.24,Aggregator,66.17711853981018,0,0,0,0,False,5734,[],0,0
0x0d2bb9d68dd4451a09ec94c05e20bd395022bd8e.sol,0.4.18,CRYPTOBUCKS,346.0026025772095,17029,6.06%,96.22%,"{'bug1': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' CRYPTOBUCKS', 'Function_name': ' increaseApproval(address,uint256)', 'PC_address': ' 8913', 'Estimated_Gas_Usage': ' 1296 - 1771', 'file_point': '78'}}",False,3858,[],0,0
0x43bc1901bfe5f2244c7de107405321ea5ab38939.sol,0.5.0,CDaiForwarder,10.215903043746948,739,26.39%,31.41%,"{'bug1': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' CDaiForwarder', 'Function_name': ' constructor', 'PC_address': ' 836', 'Estimated_Gas_Usage': ' 28951 - 185413', 'file_point': '158'}, 'bug2': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' CDaiForwarder', 'Function_name': ' constructor', 'PC_address': ' 836', 'Estimated_Gas_Usage': ' 28951 - 185413', 'file_point': '158'}}",False,1092,[],0,0
0x4bfca64260215db06d76db3c7fcda68cfe82545d.sol,0.4.18,SeventyNinth,229.22982788085938,7869,8.94%,97.17%,0,False,2683,[],0,0
0x4D37fCE35e69C0368565CcbB53d6eA7558a964A1.sol,0.6.0,InstaMemory,15.312207460403442,1913,2.58%,96.95%,0,False,754,[],0,0
0x511c0d010798d2b753b0042816ad42907866bf9d.sol,0.4.24,THMU,240.45089387893677,8194,8.49%,97.34%,"{'bug1': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' THMU', 'Function_name': ' approveAndCall(address,uint256,bytes)', 'PC_address': ' 4934', 'Estimated_Gas_Usage': ' 9512 - 69040', 'file_point': '218'}, 'bug2': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' THMU', 'Function_name': ' transferAnyERC20Token(address,uint256)', 'PC_address': ' 5345', 'Estimated_Gas_Usage': ' 4051 - 39744', 'file_point': '221'}}",False,2862,[],0,0
0x53c1d7fb6d0c8044bf6faf8bc53a8818fda8b4bd.sol,0.5.1,OSF,240.83940434455872,10161,9.67%,96.89%,"{'bug1': {'name': ' Dependence on predictable environment variable ', 'SWC_ID': ' 116', 'Severity': ' Low', 'Contract': ' OSF', 'Function_name': ' transferFrom(address,address,uint256)', 'PC_address': ' 2156', 'Estimated_Gas_Usage': ' 2332 - 2997', 'file_point': '85'}, 'bug2': {'name': ' Dependence on predictable environment variable ', 'SWC_ID': ' 116', 'Severity': ' Low', 'Contract': ' OSF', 'Function_name': ' transfer(address,uint256)', 'PC_address': ' 3899', 'Estimated_Gas_Usage': ' 1419 - 1704', 'file_point': '73'}, 'bug3': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' OSF', 'Function_name': ' increaseApproval(address,uint256)', 'PC_address': ' 5000', 'Estimated_Gas_Usage': ' 1346 - 1821', 'file_point': '37'}}",False,2316,[],0,0
0x7fd66442d2ab7860646a287f16380fa6b8eba5bc.sol,0.4.25,DingarMMK,224.98659300804138,9726,2.85%,93.15%,"{'bug1': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' DingarMMK', 'Function_name': ' mint(address,uint256)', 'PC_address': ' 6759', 'Estimated_Gas_Usage': ' 2889 - 3644', 'file_point': '40'}, 'bug2': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' DingarMMK', 'Function_name': ' transfer(address,uint256)', 'PC_address': ' 7445', 'Estimated_Gas_Usage': ' 20079 - 64409', 'file_point': '227'}}",False,3813,[],0,0
